step,start_longitude,start_latitude,end_longitude,end_latitude,distance,duration
0,-79.383039,43.653136,-79.382418,43.652434,240.6,57.7
1,-79.382418,43.652434,-79.377687,43.642631,1172.5,171.5
2,-79.377687,43.642631,-79.336701,43.762944,17103.9,804.3
3,-79.336701,43.762944,-79.336722,43.764092,128.1,5.8
4,-79.336722,43.764092,-79.334345,43.767521,516.7,20.7
5,-79.334345,43.767521,-79.223519,43.790162,9328.7,373.1
6,-79.223519,43.790162,-79.201298,43.795494,1904.6,76.2
7,-79.201298,43.795494,-76.153178,44.344157,258863.2,10354.4
8,-76.153178,44.344157,-75.500899,44.7392,72109.2,2884.3
9,-75.500899,44.7392,-74.064726,45.349895,136288.2,5451.5
10,-74.064726,45.349895,-74.055131,45.353785,866.5,34.7
11,-74.055131,45.353785,-73.966197,45.303277,11097.5,512.8
12,-73.966197,45.303277,-73.861935,45.30211,9280.4,371.2
13,-73.861935,45.30211,-73.371554,45.566587,57307.2,2292.2
14,-73.371554,45.566587,-73.371266,45.569473,321.9,12.9
15,-73.371266,45.569473,-71.517622,46.612538,192256.7,7690.1
16,-71.517622,46.612538,-71.349754,46.675672,14687.9,587.5
17,-71.349754,46.675672,-71.285678,46.721328,7473.1,298.9
18,-71.285678,46.721328,-71.311123,46.785193,7717.3,326.8
19,-71.311123,46.785193,-71.311276,46.787266,234.9,16.9
20,-71.311276,46.787266,-71.230734,46.811264,6947.5,463.1
21,-71.230734,46.811264,-71.22454,46.812003,488.4,47.2
22,-71.22454,46.812003,-71.216944,46.812978,607.7,64.3
23,-71.216944,46.812978,-71.215661,46.81197,148.8,19.1
24,-71.215661,46.81197,-71.208713,46.814573,621.1,109.8
25,-71.208713,46.814573,-71.208817,46.81387,78.9,18.9
26,-71.208817,46.81387,-71.208232,46.813799,46.6,11.2
27,-71.208232,46.813799,-71.208232,46.813799,0.0,0.0
